X,Y,FID,OBJECTID_1,OBJECTID,NAME,TYPE,LON,LAT,MAJOR_WATE,GEO_NOTES,COUNTY,GNOME,TB_MODEL,GNOME_Y_N,TB_MODEL_Y,QCSURVEY,QCIMAGE,QC_CITIZEN,OBJECTID_2,ESI,LINE,ENVIR,MOST_SENSI,LANDWARD_S,SEAWARD_SH,SEAWARD__1,GENERAL_SY,GENERALIZE,SOURCE_ID,ESI_SOURCE,Distance
-82.6857744282476,27.7443622843559,1,1,38,Clam Bayou Watergoat,Imagery,-82.6857709922,27.7443571196,Clam Bayou,Obvious watergoat at work from imagery.,Pinellas, , ,No,No, , , ,6481,10C,S,E,10C,10C: Swamps, , ,5,Vegetated (grass/marsh/mangroves/scrub-shrub),219000006,219000016,124.735673056
-82.4366927274384,27.8768012482536,2,2,98,Tampa Spoil Island North,"GNOME Model, TB-ECOM Model",-82.4366893586,27.8767960449,Hillsborough Bay, , ,June Model,10 Day Dry,Yes,Yes, , , ,8959,10F/3A/7,S,E,10F,10F: Mangroves,3A: Fine- to medium-grained sand beaches,7: Exposed tidal flats,5,Vegetated (grass/marsh/mangroves/scrub-shrub) / Beaches (sand or gravel) / Flats (mud or sand),219000006,219000016,0.257319443138
-82.5808698152568,27.5934610898652,3,3,106,Terra Ceia Preserve State Park West,"GNOME Model, TB-ECOM Model",-82.5808664143,27.5934559593,Williams Bayou,Seen in GNOME Model, ,June 30 day simulation (SW wind),5 Day Dry,Yes,Yes,"Accumulation Survey  - Unverified, 6/1/2018", , ,9598,10F,S,E,10F,10F: Mangroves, , ,5,Vegetated (grass/marsh/mangroves/scrub-shrub),219000006,219000016,32.3024975357
-82.5752780810909,27.6012538275552,4,4,107,Terra Ceia Preserve State Park East,"GNOME Model, TB-ECOM Model",-82.575274681,27.6012486942,Clambar Bay,Seen in GNOME Model, ,June 30 day simulation (SW wind),5 Day Dry,Yes,Yes, , , ,9603,10F,S,E,10F,10F: Mangroves, , ,5,Vegetated (grass/marsh/mangroves/scrub-shrub),219000006,219000016,14.0043122371
-82.7235394869093,27.6734049642313,5,5,124,Pardee Key,"GNOME Model, TB-ECOM Model",-82.7235360416,27.6733998175,Tampa Bay, , ,February model simulation (SE wind),10 Days Wet,Yes,Yes, , , ,9724,10F,S,E,10F,10F: Mangroves, , ,5,Vegetated (grass/marsh/mangroves/scrub-shrub),219000006,219000016,2.93180582344
-82.6950801023269,27.7011308457225,6,6,103,Indian Key,"GNOME Model, TB-ECOM Model",-82.695076665,27.7011256912,Boca Ciega Bay, ,Pinellas,Deposits on western shore,10 Days Wet,Yes,Yes, , , ,9797,10F,S,E,10F,10F: Mangroves, , ,5,Vegetated (grass/marsh/mangroves/scrub-shrub),219000006,219000016,7.15508297022
-82.5142448922792,27.7039275956317,7,7,112,Gooseneck Pass,"GNOME Model, TB-ECOM Model",-82.5142415067,27.7039224359,Cockroach Bay,Seen in GNOME Model, ,June 30 day simulation (SW wind),1 Day Dry,Yes,Yes, , , ,9828,10F,S,E,10F,10F: Mangroves, , ,5,Vegetated (grass/marsh/mangroves/scrub-shrub),219000006,219000016,12.6273689921
-82.4935146061132,27.7165554985256,8,8,104,Sand Key,"GNOME Model, TB-ECOM Model",-82.4935112261,27.7165503354,Little Cockroach Bay,Seen in GNOME modelling,Pinellas,June 30 day simulation (SW wind),1 Day Dry,Yes,Yes, , , ,9903,10F,S,E,10F,10F: Mangroves, , ,5,Vegetated (grass/marsh/mangroves/scrub-shrub),219000006,219000016,16.9305683694
-82.6384827189298,27.8937824562083,9,9,36,MLK Old Tampa Bay,TB-ECOM Model,-82.6384792914,27.8937772542,Old Tampa Bay,Lots of garbage near the boat ramp and overpasses.,Pinellas, ,5 Day Wet,No,Yes, , , ,10357,10F,S,E,10F,10F: Mangroves, , ,5,Vegetated (grass/marsh/mangroves/scrub-shrub),219000006,219000016,11.17731517
-82.61122341799,27.5824144387181,10,10,105,South Sunshine Skyway,GNOME Model,-82.6112200083,27.5824093111,Tampa Bay, , ,June 30 day simulation (SW wind), ,Yes,No, , , ,12275,10F/7,S,E,10F,10F: Mangroves,7: Exposed tidal flats, ,5,Vegetated (grass/marsh/mangroves/scrub-shrub) / Flats (mud or sand),219000006,219000016,1.96302418383
-82.7141147618003,27.7044675099632,11,11,101,Isla Del Sol,TB-ECOM Model,-82.7141113191,27.7044623555,Boca Ciega Bay, ,Pinellas, ,10 Days Wet,No,Yes, , , ,12311,10F/7,S,E,10F,10F: Mangroves,7: Exposed tidal flats, ,5,Vegetated (grass/marsh/mangroves/scrub-shrub) / Flats (mud or sand),219000006,219000016,2.9973381379
-82.7757717766778,27.786759039281,12,12,96,Eleanor Island,Field Observation,-82.7757683131,27.7867538667,Boca Ciega Bay,Known location for oil deposits from 1993 oil spill.,Pinellas, , ,No,No, , , ,12335,10F/7,S,E,10F,10F: Mangroves,7: Exposed tidal flats, ,5,Vegetated (grass/marsh/mangroves/scrub-shrub) / Flats (mud or sand),219000006,219000016,9.8460830101
-82.417991843297,27.8462559015753,13,13,99,Nina Island,"GNOME Model, TB-ECOM Model",-82.4179884811,27.8462507056,Hillsborough Bay, , ,June Model,1 Day Dry,Yes,Yes, , , ,12354,10F/7,S,E,10F,10F: Mangroves,7: Exposed tidal flats, ,5,Vegetated (grass/marsh/mangroves/scrub-shrub) / Flats (mud or sand),219000006,219000016,26.4678819099
-82.5655520322895,27.6168095572389,14,14,108,Port Manatee Ecological Park,"GNOME Model, TB-ECOM Model",-82.5655486345,27.6168044202,Tampa Bay,Seen in GNOME Model, ,June 30 day simulation (SW wind),5 Day Dry,Yes,Yes, , , ,12983,10F/9A,S,E,10F,10F: Mangroves,9A: Sheltered tidal flats, ,5,Vegetated (grass/marsh/mangroves/scrub-shrub) / Flats (mud or sand),219000006,219000016,17.8381913284
-82.5574618623329,27.6409016059697,15,15,110,Piney Point,"GNOME Model, TB-ECOM Model",-82.5574584669,27.6408964626,Tampa Bay,Seen in GNOME Model, ,June 30 day simulation (SW wind),5 Day Dry,Yes,Yes, , , ,12996,10F/9A,S,E,10F,10F: Mangroves,9A: Sheltered tidal flats, ,5,Vegetated (grass/marsh/mangroves/scrub-shrub) / Flats (mud or sand),219000006,219000016,10.94390903
-82.5431256064928,27.661989585221,16,16,111,Moody Point,GNOME Model,-82.5431222138,27.6619844364,Piney Point Creek,Seen in GNOME Model, ,June 30 day simulation (SW wind), ,Yes,No, , , ,13009,10F/9A,S,E,10F,10F: Mangroves,9A: Sheltered tidal flats, ,5,Vegetated (grass/marsh/mangroves/scrub-shrub) / Flats (mud or sand),219000006,219000016,10.791707709
-82.4916066931459,27.7113729316119,17,17,114,Little Cockroach Bay,"GNOME Model, TB-ECOM Model",-82.4916033145,27.7113677697,Little Cockroach Bay,Seen in GNOME Model, ,June 30 day simulation (SW wind),1 Day Dry,Yes,Yes, , , ,13072,10F/9A,S,E,10F,10F: Mangroves,9A: Sheltered tidal flats, ,5,Vegetated (grass/marsh/mangroves/scrub-shrub) / Flats (mud or sand),219000006,219000016,18.6971075344
-82.4729738222513,27.7308214759178,18,18,116,Cabbage Creek,"GNOME Model, TB-ECOM Model",-82.4729704483,27.730816309,Cabbage Creek,Seen in GNOME Model, ,June 30 day simulation (SW wind),"30 Day Wet, 10 Day Dry",Yes,Yes, , , ,13106,10F/9A,S,E,10F,10F: Mangroves,9A: Sheltered tidal flats, ,5,Vegetated (grass/marsh/mangroves/scrub-shrub) / Flats (mud or sand),219000006,219000016,7.64518925183
-82.5344104758981,27.8919315892109,19,19,60,Gandy South Boat Ramp,"GNOME Model, TB-ECOM Model",-82.5344070791,27.8919263847,Tampa Bay,Shoreline from FWC dock to ramp,Hillsborough,June 30 Day Upper Bay (SW Wind),10 & 60 Day Dry,Yes,Yes, , , ,13746,10F/9A,S,E,10F,10F: Mangroves,9A: Sheltered tidal flats, ,5,Vegetated (grass/marsh/mangroves/scrub-shrub) / Flats (mud or sand),219000006,219000016,0.0573678178409
-82.4467089150085,27.9395311027712,20,20,84,Island Place Condos,TB-ECOM Model,-82.446705542,27.9395258848,Sparkman Channel,"TIDES cleanup area, heavy mangrove shoreline, hard to see any collection areas",Hillsborough, ,60 Day Dry,No,Yes, , , ,13815,10F/9A,S,E,10F,10F: Mangroves,9A: Sheltered tidal flats, ,5,Vegetated (grass/marsh/mangroves/scrub-shrub) / Flats (mud or sand),219000006,219000016,13.1182945185
-82.7242309902521,27.9372306624997,21,21,43,Largo Inlet,TB-ECOM Model,-82.7242275371,27.9372254524,Old Tampa Bay,Fish kill hot spot and more down canal to west.,Pinellas, ,5 Day Wet,No,Yes, , , ,13825,10F/9A,S,E,10F,10F: Mangroves,9A: Sheltered tidal flats, ,5,Vegetated (grass/marsh/mangroves/scrub-shrub) / Flats (mud or sand),219000006,219000016,8.00987829379
-82.7024302033215,27.4973998884449,22,22,71,King Fish Boat Ramp,TIDES Cleanup,-82.70242677,27.4973947834,Sarasota Bay,Shoreline from Condo Beach to bridge span,Manatee, , ,No,No,Survey - Possible, , ,15658,1B,S,E,1B,"1B: Exposed, solid man-made structures", , ,1,Armored,219000006,219000016,26.3710309087
-82.5586813361109,27.6348637219218,23,23,109,Port Manatee,"GNOME Model, TB-ECOM Model",-82.5586779404,27.6348585803,Port Manatee Turning Basin,Seen in GNOME Model, ,June 30 day simulation (SW wind),5 Day Dry,Yes,Yes, , , ,15678,1B,S,E,1B,"1B: Exposed, solid man-made structures", , ,1,Armored,219000006,219000016,14.4090629633
-82.7385003512479,27.6890987812128,24,24,15,Pass-a-Grille,"Field Observation, TIDES Cleanup",-82.7384969011,27.6890936313,Beach Access Pavilion,Beach Cleanups,Pinellas, , ,No,No, , , ,16082,1B/3A,S,E,3A,"1B: Exposed, solid man-made structures",3A: Fine- to medium-grained sand beaches, ,3,Armored / Beaches (sand or gravel),219000006,219000016,9.59934354693
-82.7164929544969,27.6468955752297,25,25,12,Ft DeSoto Boat Ramp,TB-ECOM Model,-82.7164895121,27.6468904346,Bunces Pass, ,Pinellas, ,"5 Days Dry Season, 5&30 Days Wet Season",No,Yes,"Accumulation Survey - Verified, 5/24/2018", , ,16192,1B/7,S,E,7,"1B: Exposed, solid man-made structures",7: Exposed tidal flats, ,4,Armored / Flats (mud or sand),219000006,219000016,12.1221497467
-82.7450242294549,27.5381723834163,26,26,68,Anna Maria Island Point,Imagery,-82.7450207831,27.5381672699,Gulf of Mexico,Strong currents and shifting sands,Manatee, , ,No,No, , , ,16381,3A,S,E,3A,3A: Fine- to medium-grained sand beaches, , ,3,Beaches (sand or gravel),219000006,219000016,28.7083701188
-82.7127034366237,27.4971951042526,27,27,69,Manatee Public Beach,TIDES Cleanup,-82.7127,27.4971900003,Gulf of Mexico, ,Manatee, , ,No,No,Survey - Possible, , ,16381,3A,S,E,3A,3A: Fine- to medium-grained sand beaches, , ,3,Beaches (sand or gravel),219000006,219000016,30.7725846809
-82.7278491248404,27.6761741192404,28,28,7,Shell Key Shoal,Field Observation,-82.7278456787,27.6761689716,North Pass,Have seen debris at this location during field visits.,Pinellas, , ,No,No, , , ,16387,3A,S,E,3A,3A: Fine- to medium-grained sand beaches, , ,3,Beaches (sand or gravel),219000006,219000016,24.4229003075
-82.7598944609678,27.744040727943,29,29,20,Sunset Beach - Treasure Island South,"GNOME Model, Fish Kill Hot Spot",-82.7598910035,27.7440355649,Gulf of Mexico,99% Hot Spot,Pinellas,June Model, ,Yes,No,Survey - Possible, , ,16391,3A,S,E,3A,3A: Fine- to medium-grained sand beaches, , ,3,Beaches (sand or gravel),219000006,219000016,7.7068167678
-82.7638799750664,27.751810047972,30,30,21,Sunset Beach - Treasure Island North,GNOME Model,-82.7638765164,27.7518048834,Gulf of Mexico, ,Pinellas,June Model, ,Yes,No,Survey - Possible, , ,16392,3A,S,E,3A,3A: Fine- to medium-grained sand beaches, , ,3,Beaches (sand or gravel),219000006,219000016,7.84268217932
-82.7737199751615,27.7687700475255,31,31,22,Treasure Island Beach,TIDES Cleanup,-82.7737165129,27.7687648791,Gulf of Mexico, ,Pinellas, , ,No,No,Survey - Possible, , ,16392,3A,S,E,3A,3A: Fine- to medium-grained sand beaches, , ,3,Beaches (sand or gravel),219000006,219000016,16.7189882585
-82.7975633648598,27.7968956137221,32,32,48,Madeira Beach Public Access,TIDES Cleanup,-82.7975598949,27.7968904392,Gulf of Mexico,"Groin Areas, TIDES large clean up",Pinellas, , ,No,No,Survey - Possible, , ,16395,3A,S,E,3A,3A: Fine- to medium-grained sand beaches, , ,3,Beaches (sand or gravel),219000006,219000016,5.63576169451
-82.6093803256569,27.8713706050733,33,33,44,Gandy Blvd Beach West,"GNOME Model, TB-ECOM Model",-82.6093769077,27.8713654075,Old Tampa Bay,"Beach cleanup area, TIDES",Pinellas,February 30 Day Middle Bay West (SE Wind),10 Day Wet,Yes,Yes,"Accumulation Survey - Verified, 5/17/2018", , ,16420,3A/10F/9A,S,E,10F,3A: Fine- to medium-grained sand beaches,10F: Mangroves,9A: Sheltered tidal flats,5,Beaches (sand or gravel) / Vegetated (grass/marsh/mangroves/scrub-shrub) / Flats (mud or sand),219000006,219000016,2.76258644273
-82.6778177793832,27.6543490262774,34,34,9,NW Skyway Beach,"GNOME Model, TB-ECOM Model",-82.6778143482,27.6543438829,Tampa Bay, ,Pinellas, ,"5 Days Wet Season, 10 Days Dry Season",Yes,Yes,Survey - Possible, , ,16432,3A/7,S,E,7,3A: Fine- to medium-grained sand beaches,7: Exposed tidal flats, ,4,Beaches (sand or gravel) / Flats (mud or sand),219000006,219000016,4.29548324707
-82.7155209054943,27.696597926733,35,35,16,Ten Cent Beach,TB-ECOM Model,-82.715517462,27.6965927742,Middle Ground, ,Pinellas, ,10 Days Wet,No,Yes,Survey - Possible,"Imagery - Verified, GE - 9/14/2017", ,16433,3A/7,S,E,7,3A: Fine- to medium-grained sand beaches,7: Exposed tidal flats, ,4,Beaches (sand or gravel) / Flats (mud or sand),219000006,219000016,12.357124121
-82.4415583282073,27.8298001392738,36,36,97,Tampa Spoil Island South,"GNOME Model, TB-ECOM Model",-82.4415549598,27.8297949479,Hillsborough Bay, , ,June Model,10 Day Dry,Yes,Yes,Survey - Possible, , ,16445,3A/7,S,E,7,3A: Fine- to medium-grained sand beaches,7: Exposed tidal flats, ,4,Beaches (sand or gravel) / Flats (mud or sand),219000006,219000016,13.8306606554
-82.6249072229476,27.7822224066488,37,37,53,North Shore Beach,GNOME Model,-82.6249038027,27.7822172312,Tampa Bay,Shoreline accumulation extends 130' from either side of point,Pinellas,February Model, ,Yes,No,Survey - Possible, , ,16493,3A/9A,S,E,9A,3A: Fine- to medium-grained sand beaches,9A: Sheltered tidal flats, ,4,Beaches (sand or gravel) / Flats (mud or sand),219000006,219000016,3.16540294306
-82.4727308315602,27.7476693406944,38,38,78,EG Simmons Park,TB-ECOM Model,-82.4727274568,27.7476641701,Tampa Bay,Some natural debris on west side of shoreline,Hillsborough, ,10 Day Dry,No,Yes,Survey - Possible, , ,16530,3B/7,S,E,7,3B: Scarps and steep slopes in sand,7: Exposed tidal flats, ,4,"Rocky and steep shorelines (rock, sand or clay) / Flats (mud or sand)",219000006,219000016,7.51972889036
-82.4141358770422,27.792655944836,39,39,91,Apollo Beach Nature Park (Beach),"GNOME Model, TB-ECOM Model",-82.4141325178,27.7926507612,Tampa Bay,Site proposed by FYCCN Staff,Hillsborough,June 30 day simulation (SW wind),10 Day Dry,Yes,Yes,Survey - Possible, , ,16531,3B/7,S,E,7,3B: Scarps and steep slopes in sand,7: Exposed tidal flats, ,4,"Rocky and steep shorelines (rock, sand or clay) / Flats (mud or sand)",219000006,219000016,0.694485242798
-82.6752899758692,27.6539300474558,40,40,8,NE Skyway Beach,TB-ECOM Model,-82.6752865452,27.6539249042,Tampa Bay, ,Pinellas, ,30 Days Wet Season,No,Yes,Survey - Possible,Imagery -  Verified - GE - 9/14/2017, ,16570,5/7,S,E,7,5: Mixed sand and gravel beaches,7: Exposed tidal flats, ,4,Beaches (sand or gravel) / Flats (mud or sand),219000006,219000016,16.7196334233
-82.4171605243668,27.7974390707719,41,41,79,Big Bend Breakwater,"GNOME Model, TB-ECOM Model",-82.4171571638,27.7974338862,Tampa Bay, ,Hillsborough,June 30 day simulation (SW wind),10 Day Dry,Yes,Yes,Survey - Possible, , ,16572,5/7,S,E,7,5: Mixed sand and gravel beaches,7: Exposed tidal flats, ,4,Beaches (sand or gravel) / Flats (mud or sand),219000006,219000016,7.40826226538
-82.5919194121534,27.8764856802844,42,42,35,Gandy Blvd Beach East,"GNOME Model, TB-ECOM Model",-82.5919159988,27.876480481,Old Tampa Bay,High Ttde line,Pinellas,February 30 Day Middle Bay West (SE Wind),1 Day Wet and Dry,Yes,Yes,"Accumulation Survey - Verified, 5/17/2018", , ,16581,5/9A,S,E,9A,5: Mixed sand and gravel beaches,9A: Sheltered tidal flats, ,4,Beaches (sand or gravel) / Flats (mud or sand),219000006,219000016,5.55955897419
-82.7835707595317,27.7804438056741,43,43,24,Johns Pass Jetty South,Field Observation,-82.7835672943,27.7804386342,Gulf of Mexico, ,Pinellas, , ,No,No,Survey - Possible, , ,16742,6B,S,E,6B,6B: Exposed riprap, , ,1,Armored,219000006,219000016,3.01082547381
-82.5617374801659,27.8332625837504,44,44,89,Tampa Bay Sandbar,TB-ECOM Model,-82.5617340765,27.8332573944,Old Tampa Bay,Seen large amounts of debris in the past.,Hillsborough, ,10 Day Wet,No,Yes,"Accumulation Survey  - Unverified, 6/1/2018", , ,16751,6B,S,E,6B,6B: Exposed riprap, , ,1,Armored,219000006,219000016,1758.38020074
-82.5517521146915,27.8626061560164,45,45,62,Port Tampa North Side,TB-ECOM Model,-82.5517487133,27.8626009593,Tampa Bay,Just looks like marine debris everywhere,Hillsborough, ,10 & 60 Day Dry,No,Yes,"Accumulation Survey - Verified, 5/17/2018", , ,16755,6B,S,E,6B,6B: Exposed riprap, , ,1,Armored,219000006,219000016,5.37815979124
-82.6130952510222,27.5847512600739,46,46,74,South Side Skyway Rest Area,TB-ECOM Model,-82.6130918406,27.5847461324,Tampa Bay, ,Manatee, ,60 Day Dry,No,Yes,Survey - Possible, , ,16868,6B/7,S,E,7,6B: Exposed riprap,7: Exposed tidal flats, ,4,Armored / Flats (mud or sand),219000006,219000016,5.59326983871
-82.6791982321584,27.9635595177914,47,47,46,Courtney Campbell Causeway - First Span,GNOME Model,-82.6791947906,27.9635542996,Old Tampa Bay,Large TIDES clean up area,Pinellas,February 30 Day Middle Bay East (SE Wind), ,Yes,No, , , ,16923,6B/7,S,E,7,6B: Exposed riprap,7: Exposed tidal flats, ,4,Armored / Flats (mud or sand),219000006,219000016,5.09837589589
-82.723165941363,27.6886507165305,48,48,14,Freedom Boat Club,GNOME Model,-82.7231624962,27.6886455661,Dents Channel, ,Pinellas, ,10 Days Wet,Yes,No, , , ,19576,8B,S,E,8B,"8B: Sheltered, solid man-made structures", , ,1,Armored,219000006,219000016,13.537089377
-82.6713556585554,27.7076112930697,49,49,121,Pinellas Point Drive Cut,"GNOME Model, TB-ECOM Model",-82.6713522281,27.7076061368,Tampa Bay,Discoloration seen in imagery,Pinellas,February model simulation (SE wind),30 and 60 Day Wet,Yes,Yes,"Accumulation Survey  - Unverified, 5/24/2018",Imagery -  Verified - GE - 9/14/2017, ,19589,8B,S,E,8B,"8B: Sheltered, solid man-made structures", , ,1,Armored,219000006,219000016,0.0821054352624
-82.4752182773617,27.7288183048082,50,50,76,Bahia Beach,"GNOME Model, TB-ECOM Model",-82.475214902,27.7288131383,Tampa Bay,Seen in GNOME modelling,Hillsborough,June 30 day simulation (SW wind),"30 Day Wet, 10 Day Dry",Yes,Yes, , , ,19696,8B,S,E,8B,"8B: Sheltered, solid man-made structures", , ,1,Armored,219000006,219000016,0.200942582481
-82.6831586473279,27.7270264274467,51,51,29,Maximo Marina,Imagery,-82.6831552122,27.7270212669,Boca Ciega Bay,Looks like garbage but could be substrate,Pinellas, , ,No,No, , , ,19711,8B,S,E,8B,"8B: Sheltered, solid man-made structures", , ,1,Armored,219000006,219000016,4.19093503845
-82.473134531754,27.746501120404,52,52,77,EG Simmons Park Ramp,TB-ECOM Model,-82.4731311567,27.7464959495,Tampa Bay,Sand pile in back corner where debris could get pushed as well,Hillsborough, ,10 Day Dry,No,Yes, , , ,19734,8B,S,E,8B,"8B: Sheltered, solid man-made structures", , ,1,Armored,219000006,219000016,4.47225220399
-82.6363535239585,27.7585232610891,53,53,40,Brooker Creek East Watergoat,"GNOME Model, Imagery",-82.6363501015,27.7585180912,Bayboro Harbor,Debris seen within watergoat in imagery.,Pinellas,February Model, ,Yes,No, , , ,19770,8B,S,E,8B,"8B: Sheltered, solid man-made structures", , ,1,Armored,219000006,219000016,2.29731416474
-82.6363668549573,27.7623212687838,54,54,1,USFSP,"GNOME Model, TB-ECOM Model",-82.6363634326,27.7623160985,Bayboro Harbor,This location was personally seen as a collection point after rain storms.,Pinellas,February Model,5 Days Wet Season,Yes,Yes,"Accumulation Survey - Verified, 5/15/2018",Imagery - Verified, ,19772,8B,S,E,8B,"8B: Sheltered, solid man-made structures", , ,1,Armored,219000006,219000016,4.16278346538
-82.630766181656,27.7665907715978,55,55,2,Salvador Dali,Field Observation,-82.6307627603,27.7665856003,St Pete Turning Basin,This location was personally seen as a collection point after rain storms.,Pinellas, , ,No,No, ,"Imagery -  Verified, GE - 9/14/2017", ,19819,8B,S,E,8B,"8B: Sheltered, solid man-made structures", , ,1,Armored,219000006,219000016,5.80444324011
-82.6311523143961,27.7739122075672,56,56,4,Hops and Props,"GNOME Model, Field Observation",-82.6311488934,27.7739070338,Vinoy Basin,This location was personally seen as a collection point after rain storms.,Pinellas,February Model, ,Yes,No, , , ,19858,8B,S,E,8B,"8B: Sheltered, solid man-made structures", , ,1,Armored,219000006,219000016,10.0022700156
-82.6276742927375,27.7775039221277,57,57,51,Vinoy Docks East,TB-ECOM Model,-82.6276708727,27.7774987476,Vinoy Basin,Seen major clumping here in the past,Pinellas, ,5 Day Wet,No,Yes, , , ,19858,8B,S,E,8B,"8B: Sheltered, solid man-made structures", , ,1,Armored,219000006,219000016,1.12601970681
-82.6299208391259,27.777471244837,58,58,52,Vinoy Dock West,GNOME Model,-82.6299174182,27.7774660707,Vinoy Basin,Large accumulation of sand and garbage.,Pinellas,February Model, ,Yes,No, , , ,19858,8B,S,E,8B,"8B: Sheltered, solid man-made structures", , ,1,Armored,219000006,219000016,4.02973868845
-82.4167207774756,27.7754442385393,59,59,117,Lake Sunrise,GNOME Model,-82.4167174177,27.7754390592,Bal Harbour,Seen in GNOME Model, ,June 30 day simulation (SW wind), ,Yes,No, , , ,19869,8B,S,E,8B,"8B: Sheltered, solid man-made structures", , ,1,Armored,219000006,219000016,28.1471764611
-82.6334182194788,27.8002744808664,60,60,26,Coffee Pot Bayou Boat Ramp,GNOME Model,-82.6334147966,27.8002693009,Coffee Pot Bayou, ,Pinellas,February 30 Day Middle Bay West (SE Wind), ,Yes,No, , , ,19896,8B,S,E,8B,"8B: Sheltered, solid man-made structures", , ,1,Armored,219000006,219000016,2.07083466639
-82.6102989392732,27.7988659286022,61,61,25,SPYC Snell Isle Marina,"GNOME Model, Imagery",-82.6102955235,27.7988607487,Snell Isle Harbor,Rain imagery does not show as much garbage as seen in world imagery.,Pinellas,February 30 Day Middle Bay West (SE Wind), ,Yes,No,"Accumulation Survey  - Unverified, 5/31/2018","Imagery - Verified, GE - 1/11/2017", ,19914,8B,S,E,8B,"8B: Sheltered, solid man-made structures", , ,1,Armored,219000006,219000016,2.45642083365
